2D Artist,NP,,Credits,2B Sanatçısı
2D Artists,NP/Pl,,Credits,2B Sanatçıları
3D Modeling,NP,,Credits,3B Modelleme
Abilities,N/Pl,Character abilities,Labels,Yetenekler
Ability,N,Character ability,Labels,Yetenek
About,Prep.,Usually in menus or uı,Labels,Hakkında
Above Average,ADJ,Grading difficulty etc.,Grades,Ortalama Üstü
Accelerate,V/T/Imp,To make sth happen faster,Actions,Hızlandır
Accelerate,V/T/Imp,To start to go faster,Actions,Hızlan
Acceleration,N,Act of making sth happen faster,Labels,Hızlandırma
Accepted,V/Past/Pass,Sth was accepted by sb,Status,Kabul Edildi
Accept,V/T/Imp,To accept,Actions,Kabul Et
Accessibility,N,Color blind options etc.,Labels,Erişilebilirlik
Accessibility Settings,NP/Pl,Color blind options etc.,Labels,Erişilebilirlik Ayarları
Account,N,,Labels,Hesap
Account Settings,NP/Pl,,Labels,Hesap Ayarları
Account Verification,NP,,Labels,Hesap Doğrulama
Accounts,N/Pl,,Labels,Hesaplar
Accuracy,N,Weapon accuracy etc.,Labels,İsabetlilik
Accuracy,N,Being exact or correct,Labels,Doğruluk
Achievement,N,,Labels,Başarım
Achievement Unlocked,VP,,Status,Başarım Kazanıldı
Achievements,N/Pl,,Labels,Başarımlar
Act,V/I/Imp,Act your character etc.,Actions,Hareket Et
Act,N,e.g. Game episode,Labels,Bölüm
Acts,N/Pl,e.g. Game episodes,Labels,Bölümler
Action,N,,Labels,Eylem
Actions,N/Pl,Player actions etc.,Labels,Eylemler
Action,N,,Genre,Aksiyon
Action Game,NP,,Genre,Aksiyon Oyunu
Action Point,NP,,Labels,Eylem Puanı
Action Points,NP/Pl,,Labels,Eylem Puanları
Action Wheel,NP,Quick menu,Labels,Eylem Menüsü
Activate,V/T/Imp,To activate sth,Actions,Etkinleştir
Activated,V/Past/Pass,Sth was activated by sb,Status,Etkinleştirildi
Activation,N,,Labels,Etkinleştirme
Active,N,,Status,Etkin
Add,V/T/Imp,,Actions,Ekle
Additional,ADJ,,Labels,Ek Olarak
ADS,VP/Imp,Aim your weapon etc.,Actions,Nişan Al
ADS,NP,,Labels,Nişan Alma
ADS Sensitivity,NP,,Labels,Nişan Alma Hassasiyeti
Advance,V/I/Imp,Move forward,Actions,İlerle
Advanced,ADJ,,Labels,Gelişmiş
Advanced,ADJ,Grading difficulty etc.,Grades,Gelişmiş
Advanced Controls,NP/Pl,,Labels,Gelişmiş Kontroller
Advanced Graphics,NP/Pl,,Labels,Gelişmiş Grafikler
Advanced Settings,NP/Pl,,Labels,Gelişmiş Ayarlar
Adventure,N,,Labels,Macera
Adventure,N,,Grades,Macera
Adventure,N,,Genre,Macera
Adventure Game,NP,,Genre,Macera Oyunu
Adventure Mode,NP,,Labels,Macera Modu
Age,N,,Labels,Yaş
Aggressiveness,N,,Labels,Agresiflik
Aggro,N/Abbr.,Aggressiveness,Labels,Agresiflik
Aggro,V/T/Imp/Abbr.,To aggro an enemy,Actions,Sinirlendir
AGI,N/Abbr.,Agility,Labels,KIV
Agility,N,,Labels,Kıvraklık
AI,N/Acr.,Artificial intelligence,Labels,YZ
Aim,V/I/Imp,To aim a weapon etc.,Actions,Nişan Al
Aim,N,In control menus etc.,Labels,Nişan Alma
Aim Acceleration,NP,,Labels,Nişan Alma İvmesi
Aim Assist,NP,,Labels,Nişan Desteği
Aim Down Sights,VP/Imp,Aiming command,Actions,Nişan Al
Aim Down Sights,NP,In control menus etc.,Labels,Nişan Alma
Aim Sensitivity,NP,,Labels,Nişan Alma Hassasiyeti
Aim Sensitivity X,NP,,Labels,Nişan Alma Hassasiyeti X
Aim Sensitivity Y,NP,,Labels,Nişan Alma Hassasiyeti Y
Aiming Sensitivity,NP,,Labels,Nişan Alma Hassasiyeti
Aiming Sensitivity X,NP,,Labels,Nişan Alma Hassasiyeti X
Aiming Sensitivity Y,NP,,Labels,Nişan Alma Hassasiyeti Y
Air,N,,Labels,Hava
Air Damage,NP,,Labels,Hava Hasarı
Air Resistance,NP,,Labels,Hava Direnci
Alien,N,,Labels,Uzaylı
Aliens,N/Pl,,Labels,Uzaylılar
Alive,ADJ,,Status,Canlı
All,Det.,All option in graphics,Grades,Tümü
All,Det.,"Take all, select all",Labels,Hepsi
Allies,N/Pl,Friendly or ally collectives,Labels,Müttefikler
Allies,N/Pl,Friendly or ally npc's,Labels,Dostlar
Ally,N,Friendly or ally npc,Status,Dost
Ally,N,Friendly or ally collective,Status,Müttefik
Altitude,N,e.g. Plane altitude,Status,Yükseklik
Ambient Occlusion,NP,,Labels,Ortam Aydınlatması
Ambient Sound,NP,,Labels,Ortam Sesi
Ambient Sounds,NP/Pl,,Labels,Ortam Sesleri
Ammo,N/Abbr.,,Labels,Mühimmat
Ammunition,N,,Labels,Mühimmat
Ammunition Box,NP,,Labels,Mühimmat Kutusu
Amulet,N,Accessory,Labels,Tılsım
Amulets,N/Pl,Accessory,Labels,Tılsımlar
An error has occured.,S,,Sentences,Bir hata oluştu.
Animation,N,"Menus, animation quality etc.",Labels,Animasyon
Animation,N,,Credits,Animasyon
Animation Director,NP,,Credits,Animasyon Yönetmeni
Animator,N,,Credits,Animatör
Animators,N/Pl,,Credits,Animatörler
Anisotropic,ADJ,Filtering option,Labels,Yönbağımlı
Anisotropic Filtering,NP,,Labels,Yönbağımlı Filtreleme
Anti Aliasing,NP,,Labels,Kenar Yumuşatma
Anti Aliasing Quality,NP,,Labels,Kenar Yumuşatma Kalitesi
Anti-Aliasing,NP,,Labels,Kenar Yumuşatma
Antialiasing Quality,NP,,Labels,Kenar Yumuşatma Kalitesi
Anti-Aliasing Quality,NP,,Labels,Kenar Yumuşatma Kalitesi
Anvil,N,,Labels,Örs
AP,NP/Pl,Action Points,Labels,EP
Appearance,N,Character apperance etc.,Labels,Görünüş
Apply,V/T/Imp,To apply,Actions,Uygula
Arcade,N,Non serious fun mode,Labels,Eğlence
Arcade,N,Difficulty grade,Grades,Eğlence
Arcade Mode,NP,Non serious fun mode,Labels,Eğlence Modu
Arcane,ADJ,,Labels,Gizemli
Arcane Spells,NP,,Labels,Gizemli Büyüler
Archived,ADJ,Archived quests etc.,Labels,Arşivlenen
Archived,V/T/Past/Pass,Sth was archived,Status,Arşivlendi
Are you sure you want to quit?,S,,Sentences,Çıkmak istediğine emin misin?
Are you sure?,S,,Sentences,Emin misin?
Arena,N,,Labels,Arena
Arm,V/T/Imp,To arm a bomb,Actions,Kur
Arm,N,A part of a body,Labels,Kol
Armor,N,,Labels,Zırh
Armored,ADJ,"Armored vehicle, tank etc.",Labels,Zırhlı
Armors,N/Pl,,Labels,Zırhlar
Arms,N/Pl,Parts of a body,Labels,Kollar
Arrow,N,,Labels,Ok
Arrows,N/Pl,,Labels,Oklar
Art,N,,Credits,Sanat
Art Director,NP,,Credits,Sanat Yönetmeni
Art Gallery,NP,,Labels,Sanat Galerisi
Artificial Intelligence,NP,,Labels,Yapay Zekâ
Artist,N,,Credits,Sanatçı
Artists,N/Pl,,Credits,Sanatçılar
Ascend,V/I/Imp,Make something go up,Actions,Yukarı Çık
Ascended,V/Past/Pass,Ascended an item or skill,Status,Yükseltildi
Ascend,V/T/Imp,To ascend an item or skill,Actions,Yükselt
Ascend,V/I/Imp,Scroll up on menus,Actions,Yukarı Çık
Aspect Ratio,NP,,Labels,En/Boy Oranı
Assassin,N,,Labels,Suikastçı
Assist,N,Score assist,Labels,Asist
Assist,V/I/Imp,To help someone,Actions,Yardım Et
Assistant,N,,Credits,Yardımcı
Assists,N/Pl,Score assists,Labels,Asistler
Associate,V/T/Imp,To associate,Actions,İlişkilendir
Attack,V/I/Imp,To attack,Actions,Saldır
Attack,N,,Labels,Saldırı
Attack Power,NP,,Labels,Saldırı Gücü
Attack Range,NP,,Labels,Saldırı Menzili
Attack Rate,NP,,Labels,Saldırı Hızı
Attack Speed,NP,,Labels,Saldırı Hızı
Attires,N/Pl,Outfits,Labels,Kıyafetler
Attire,N,Outfit,Labels,Kıyafet
Attribute,N,,Labels,Nitelik
Attribute Points,NP/Pl,,Labels,Nitelik Puanları
Attributes,N/Pl,,Labels,Nitelikler
Audio,N,,Labels,Ses
Audio,N,,Credits,Ses
Audio Director,NP,,Credits,Ses Yönetmeni
Automatic,N,,Status,Otomatik
Automatic,N,,Labels,Otomatik
Auto,N/Abbr.,,Status,Otomatik
Auto,N/Abbr.,,Labels,Otomatik
Auto,N/Abbr.,,Labels,Araba
Auto Attack,NP,,Labels,Otomatik Saldırı
Auto Detect,VP/Imp,Auto detect graphic settings,Actions,Otomatik Algıla
Auto Jumping,NP,,Labels,Otomatik Zıplama
Auto Running,NP,Moving fast on foot,Labels,Otomatik Koşma
Auto Running,NP,Running a vehicle or program,Labels,Otomatik Çalıştırma
Auto Save,VP,To save automatically,Actions,Otomatik Kaydet
